id,name,address_01,address_02,city,id_geo_states,postal_code
4492,Winfield Scott School No. 2,125 MADISON AVE,,Elizabeth,37,07201-2420
4725,Winfield Township,7 1/2 GULFSTREAM AVENUE,,Winfield,37,7036
1233,Winslow Township Elementary School Five,130 OAK LEAF ROAD,,Berlin,37,8009
1235,Winslow Township Elementary School Four,541 KALI ROAD,,Sicklerville,37,8081
1237,Winslow Township Elementary School One,413 INSKIP ROAD,,BLUE ANCHOR,37,08037-9511
1239,Winslow Township Elementary School Six,617 SICKLER AVENUE,,Sicklerville,37,8081
1241,Winslow Township Elementary School Three,131 SICKLERVILLE ROAD,,Sicklerville,37,8081
1243,Winslow Township Elementary School Two,125 FIRST AVENUE,,Sicklerville,37,8081
1245,Winslow Township High School,10 Cooper Folly Rd.,,Atco,37,8004
1247,Winslow Township Middle School,30 COOPER FOLLY ROAD,,Atco,37,8004
2361,WL ANTHEIL ELEMENTARY SCHOOL,339 EWINGVILLE ROAD,,Ewing,37,08638-1721
3197,WOLF HILL ELEMENTARY SCHOOL,29 WOLF HILL AVENUE,,Oceanport,37,07757-1000
2896,WOODBINE AVENUE ELEMENTARY SCHOOL,WOODBINE AVENUE,,Avenel,37,7001
1311,Woodbine Elementary School,801 WEBSTER STREET,,Woodbine,37,8270
2898,Woodbridge High School,25 Samuel Lupo PLACE,,Woodbridge,37,7095
2900,WOODBRIDGE MIDDLE SCHOOL,525 BARRON AVENUE,,Woodbridge,37,7095
2598,Woodbrook Elementary School,15 ROBIN ROAD,,Edison,37,8820
2004,Woodbury Heights Elementary,100 ACADEMY AVE,,WOODBURY HTS,37,8097
2002,Woodbury Junior/Senior High School,25 N. Broad Street,,Woodbury,37,08096-4602
689,Woodcliff Middle School,134 WOODCLIFF AVE,,WOODCLIFF LAKE,37,07677-8245
1070,Woodcrest Elementary School,400 CRANFORD DR.,,CHERRY HILL,37,08003-3499
4230,Woodfern Elementary School,425 WOODFERN RD,,Hillsborough,37,8844
2300,Woodglen School,70 BUNNVALE ROAD,,Califon,37,07830-9231
2677,WOODLAND ELEMENTARY SCHOOL,42 Harrison Ave,,Monroe Township,37,8831
4580,Woodland Elementary School,730 CENTRAL STREET,,Plainfield,37,7062
963,Woodland Middle School,1 SCHOOL LANE,,Barrington,37,8007
3386,WOODLAND SCHOOL,51 JOHNSTON DRIVE,,CONVENT STATION,37,7961
4296,Woodland School,114 STIRLING RD,,Warren,37,7059
1249,Woodlynne Boro Public School,131 ELM AVENUE,,Woodlynne,37,8107
2938,Woodmere,65 RALEIGH COURT,,Eatontown,37,07724-2192
3416,Woodmont School,39 WOODMONT ROAD,,PINE BROOK,37,7058
683,WOOD-RIDGE INTERMEDIATE SCHOOL,151 FIRST STREET,,WOOD-RIDGE,37,7075
685,Wood-Ridge Jr/Sr High School,258 HACKENSACK ST,,WOOD  RIDGE,37,07075-1207
3178,Woodrow Wilson,210 WEST SYLVANIA AVE,,NEPTUNE CITY,37,07753-6299
2030,Woodrow Wilson #10,101 WEST 56TH STREET,,Bayonne,37,7002
2699,Woodrow Wilson Elementary School,133 TUNISON RD,,NEW BRUNSWICK,37,08901-1652
2796,Woodrow Wilson Elementary School,65 DANE STREET,,Sayreville,37,8872
2206,Woodrow Wilson Elementary School,80 HAUXHURST AVENUE,,Weehawken,37,7086
1026,Woodrow Wilson High School,3100 Federal Street,,Camden,37,8105
3830,Woodrow Wilson Middle School,1400 VAN HOUTEN AVENUE,,Clifton,37,7013
2600,Woodrow Wilson Middle School,50 WOODROW WILSON DRIVE,,Edison,37,8820
340,WOODROW WILSON SCHOOL #5,205 OUTWATER LANE,,Garfield,37,07026-2635
